Best,Time,Evals,Best_solution
,,,
0.422744326,2229.881387,852,"[[0.7014962628199143, 0.3359801314341685, 0.7581374371596741, 0.22780961348069695, 0.3017100840641146, 0.17879547015910924, 0.7921733392927478, 0.21027123814034726, 0.047194082104890844]]"
,,,
,,,
,,,
,,,
entrenando con 3 rutas 3fm en mi maquina,,,
,,,
"{""pop_size"": 50, ""ngen"": 20, ""cxpb"": 0.7, ""mutpb"": 0.3, ""list_size"": 9, ""controller_module"": ""fis3f9p"", ""simulation"": ""rueda_trasera_fisopt"", ""runs"": 1, ""ini_min"": 0, ""ini_max"": 1}",,,
