RUN,GA,PSO,AO,GWO,AOA,HS
1,0.008617023,0.00372568,0.0050043102,0.0084150900,0.008018,0.00771709
2,0.010325773,0.00654691,0.0064699369,0.0070931500,0.003224,0.00745691
3,0.007555461,0.00535298,0.0035509683,0.0058417900,0.003996,0.00800895
4,0.007365613,0.01026034,0.0060317933,0.0042361300,0.001989,0.00576156
5,0.013411807,0.00276579,0.0091716555,0.0083211700,0.009738,0.00966376
6,0.182050413,0.00834192,0.0065408612,0.0048743900,0.009957,0.0073621
7,0.013994493,0.00733231,0.0041143624,0.0068467600,0.008357,0.0077433
8,0.009490783,0.00565919,0.0051658381,0.0075449900,0.008005,0.01104621
9,0.009243625,0.00351899,0.0078215583,0.0046354600,0.003903,0.00701425
10,0.005971152,0.00939676,0.0047314755,0.0051250900,0.009966,0.0080868
11,0.007404512,0.00956591,0.0088348541,0.0077478600,0.006839,0.00771709
12,0.009134505,0.00650207,0.0076122788,0.0084911000,0.028972,0.00745691
13,0.008492101,0.00481802,0.0052495782,0.0071131700,0.002901,0.00800895
14,0.012312361,0.00158063,0.0140706156,0.0037691300,0.002683,0.00576156
15,0.008264253,0.00549358,0.0053720087,0.0065501200,0.004936,0.00966376
16,0.007335327,0.00373473,0.0054090000,0.0039030000,0.002498,0.0073621
17,0.011429565,0.00365228,0.0072440000,0.0079210000,0.005317,0.0077433
18,0.009602277,0.00585586,0.0082460000,0.0031520000,0.797809,0.01104621
19,0.006867419,0.00545866,0.0080450000,0.0079460000,0.010319,0.00701425
20,0.012367301,0.00482529,0.0068120000,0.0053920000,0.007191,0.0080868
21,0.006546849,0.00461553,0.0089690000,0.0056120000,0.030313,0.00771709
22,0.012652613,0.00664830,0.0074240000,0.0066510000,0.006913,0.00745691
23,0.008760328,0.00575876,0.0084910000,0.0034080000,0.005159,0.00800895
24,0.007930709,0.00590846,0.0071700000,0.0049780000,0.00402,0.00576156
25,0.008382562,0.00390074,0.0035910000,0.0054790000,0.002467,0.00966376
26,0.010656666,0.00449732,0.0086460000,0.0081670000,0.003743,0.0073621
27,0.025073647,0.00470167,0.0088510000,0.0063170000,0.004796,0.0077433
28,0.005743788,0.00299766,0.0061660000,0.0038040000,0.004354,0.01104621
29,0.010939213,0.00515913,0.0067510000,0.0084647830,0.00508676,0.00701425
30,0.011309657,0.00537022,0.0071240000,0.0074634220,0.00508676,0.0080868
